"","AZ1911.049TE","AZ2008.39TE","TE2004.01.atr"
"ENSG00000000003.15",150.422200699191,261.126943682742,795.213977885482
"ENSG00000000005.6",4.67425614695495,2.65746471777713,9.01432827650766
"ENSG00000000419.12",667.411324883207,618.93540823903,442.258361672475
"ENSG00000000457.14",687.337670478025,660.281736309762,499.884035815909
"ENSG00000000460.17",498.036999871609,291.34246335835,123.864351541369
"ENSG00000000938.13",644.717422264242,7542.81250791277,542.382872409029
"ENSG00000000971.15",928.113939750262,315.196671674196,5204.24627879066
"ENSG00000001036.14",1980.33094432152,1018.88067000861,1261.977393817
"ENSG00000001084.13",1203.76074394302,707.193876699958,1171.93823409587
"ENSG00000001167.14",811.877197176868,1458.58081572008,819.704687235473
"ENSG00000001460.18",302.645704485071,97.3150173087766,353.658429214249
"ENSG00000001461.17",1564.09385570039,515.56939203479,2035.59324314809
"ENSG00000001497.16",1344.90508403038,687.315855731057,788.731141980573
"ENSG00000001561.7",261.131280394924,542.603613806938,154.121871255891
"ENSG00000001617.12",946.379704086715,436.851910955119,3727.60659756187
"ENSG00000001626.15",981.250702804249,38.4315393397462,96.4860868732392
"ENSG00000001629.10",1994.72211749782,1401.3323627705,2359.01348831398
"ENSG00000001630.17",190.278523932468,47.191737750407,67.6611687038483
"ENSG00000001631.15",263.898922949004,193.538348156816,194.463080884522
"ENSG00000002016.18",605.971709666571,369.265865978516,353.658429214249
"ENSG00000002079.14",41.3317350503662,15.2538245970402,41.7036577465277
"ENSG00000002330.13",172.0112664757,141.850550569082,301.07429268469
"ENSG00000002549.12",1603.9463512179,1334.54249263447,2115.54791927346
"ENSG00000002586.20",2321.29101386042,2112.96214085698,4579.01544487131
"ENSG00000002586.20_6_PAR",2.65746471777713,2.65746471777713,2.65746471777713
"ENSG00000002587.10",363.532924340894,523.520636594979,737.588752272991
"ENSG00000002726.20",2278.11750193893,380.397713501872,903.981497108873
"ENSG00000002745.13",10.1016647480869,9.55980304609276,15.6524300835672
"ENSG00000002746.15",214.634454751091,98.1103672484191,297.472621777769
"ENSG00000002822.15",96.721777679595,133.898220157563,78.4715984063804
"ENSG00000002834.18",10123.5163830931,17718.7115327694,6819.1857678819
"ENSG00000002919.14",805.235093892716,995.027115285695,704.454227470316
"ENSG00000002933.9",944.71918014771,826.461888556403,1647.34479037717
"ENSG00000003056.3",2207.82216654642,1367.93742890271,1375.06654732164
"ENSG00000003096.14",47.42924954235,12.8289665417608,197.344537028073
"ENSG00000003137.8",832.357012821771,181.610660889143,1976.52762389684
"ENSG00000003147.19",1413.53996149396,1221.63578295193,497.723076046806
"ENSG00000003249.13",309.841498258666,98.1103672484191,386.073122147014
"ENSG00000003393.15",2162.98813243183,1416.43959401535,1370.02435639506
"ENSG00000003400.14",2103.20941856618,1798.09584551796,1999.57762193733
"ENSG00000003402.20",7885.13692872496,21749.1562479025,8773.39214427208
"ENSG00000003436.16",1287.89384711411,1146.8947009564,1744.58699501278
"ENSG00000003509.16",381.798994914152,560.891455118928,328.446911618646
"ENSG00000003756.17",2285.86659388474,3998.18357728508,2351.81036536845
"ENSG00000003987.14",47.9834537636331,28.8649462901674,45.3107115658245
"ENSG00000003989.17",441.578651511556,48.7839521409115,831.229724817255
"ENSG00000004059.11",810.216671398893,556.915838369686,1013.4692406179
"ENSG00000004139.14",226.81228629688,135.488697283193,173.572315703531
"ENSG00000004142.12",3450.99770944712,1637.48219644068,1777.72137352465
"ENSG00000004399.12",4620.00316441191,6944.88499495842,9951.10219926852
"ENSG00000004455.17",3064.65022886974,2722.02154225087,1753.23074603606
"ENSG00000004468.13",135.475487759573,118.788358132168,220.395989104949
"ENSG00000004478.8",4233.65572996367,1644.63825073655,2091.05729817258
"ENSG00000004487.16",3224.61358692833,2910.46417830275,1866.31981528757
"ENSG00000004534.15",3971.84721895299,4534.09206623663,2784.71802158514
"ENSG00000004660.15",470.91487337178,651.535400635045,275.862535124789
"ENSG00000004700.16",499.697537101471,588.720759071166,685.005694115767
"ENSG00000004766.17",552.281158701803,385.168501414497,641.066390211029
"ENSG00000004776.13",24.1223443274105,12.0167274783282,212.472088604778
"ENSG00000004777.18",300.985135245455,253.970597934228,151.240279395485
"ENSG00000004779.10",362.425888579844,324.738325358248,393.996697299636
"ENSG00000004799.8",495.269437547038,181.610660889143,783.688935950732
"ENSG00000004809.14",3.93121806685128,8.73024553402319,2.65746471777713
"ENSG00000004838.14",30.2357576191079,31.2580928349465,20.7429561808332
